drug_name,cid,origin
UNC10224997A,45269578,LINCS
UNC10224998A,44525926,LINCS
UNC10224999A,44532538,LINCS
UNC10225000A,66561010,LINCS
UNC10225001A,10287409,LINCS
UNC10225002A,6539606,LINCS
UNC10225004A,6539572,LINCS
UNC10225005A,60150509,LINCS
UNC10225007A,44532200,LINCS
UNC10225008A,10086873,LINCS
UNC10225009A,44578630,LINCS
UNC10225010A,44525940,LINCS
UNC10225011A,25121268,LINCS
UNC10225013A,44532196,LINCS
UNC10225014A,6539455,LINCS
UNC10225015A,11427162,LINCS
UNC10225018A,46215816,LINCS
UNC10225019A,44526071,LINCS
UNC10225020A,20825615,LINCS
UNC10225021A,57394915,LINCS
UNC10225022A,44525924,LINCS
UNC10225023A,23648890,LINCS
UNC10225023A,23648890,LINCS
UNC10225023B,23648890,LINCS
UNC10225023B,23648890,LINCS
UNC10225024A,57396626,LINCS
UNC10225025A,10639924,LINCS
UNC10225026A,135435010,LINCS
UNC10225028A,44527361,LINCS
UNC10225029A,9817349,LINCS
UNC10225030A,51356852,LINCS
UNC10225031A,9865518,LINCS
UNC10225032A,44525957,LINCS
UNC10225033A,44525958,LINCS
UNC10225034A,44525921,LINCS
UNC10225035A,22112846,LINCS
UNC10225036A,44578709,LINCS
UNC10225037A,6539398,LINCS
UNC10225038A,6539501,LINCS
UNC10225039A,53469449,LINCS
UNC10225040A,44532671,LINCS
UNC10225042A,44527657,LINCS
UNC10225043A,6539467,LINCS
UNC10225044A,45272980,LINCS
UNC10225045A,135925087,LINCS
UNC10225046A,44578613,LINCS
UNC10225047A,25107963,LINCS
UNC10225048A,44532720,LINCS
UNC10225049A,44532316,LINCS
UNC10225050A,6539613,LINCS
UNC10225052A,44525953,LINCS
UNC10225054A,44532478,LINCS
UNC10225056A,44525486,LINCS
UNC10225057A,9945516,LINCS
UNC10225058A,11133737,LINCS
UNC10225060A,6539533,LINCS
UNC10225061A,6539494,LINCS
UNC10225063A,6539498,LINCS
UNC10225065A,6539465,LINCS
UNC10225066A,44525974,LINCS
UNC10225068A,56670156,LINCS
