drug_name,cid,origin
Saracatinib,10302451,klaeger
SB-1317,16739650,klaeger
SCH-900776,46239015,klaeger
Seliciclib,160355,klaeger
Selumetinib,10127622,klaeger
SGI-1776,24795070,klaeger
SGX-523,24779724,klaeger
Silmitasertib,24748573,klaeger
SNS-314,24995524,klaeger
Sonolisib,9849735,klaeger
Sorafenib,216239,klaeger
Sotrastaurin,10296883,klaeger
SU-14813,10138259,klaeger
Sunitinib,5329102,klaeger
TAK-285,11620908,klaeger
TAK-593,24767976,klaeger
TAK-733,24963252,klaeger
TAK-901,16124208,klaeger
Talmapimod,9871074,klaeger
Tandutinib,3038522,klaeger
Tanzisertib,11597537,klaeger
Telatinib,9808844,klaeger
Tepotinib,25171648,klaeger
Tesevatinib,10458325,klaeger
TG-100115,10427712,klaeger
TG-100572,11712625,klaeger
TG-100801,11973736,klaeger
Tivantinib,11494412,klaeger
Tivozanib,9911830,klaeger
Tofacitinib,9926791,klaeger
Tozasertib,5494449,klaeger
Trametinib,11707110,klaeger
UCN-01,72271,klaeger
UCN-01,3078519,klaeger
UCN-01,5459175,klaeger
UCN-01,4616292,klaeger
UCN-01,56603728,klaeger
Ulixertinib,11719003,klaeger
Uprosertib,51042438,klaeger
Vandetanib,3081361,klaeger
Varlitinib,42642648,klaeger
Vatalanib,151194,klaeger
Vemurafenib,42611257,klaeger
Volasertib,10461508,klaeger
Volitinib,68289010,klaeger
VX-702,10341154,klaeger
X-396,56960447,klaeger
XL-019,57990869,klaeger
XL-019,57990770,klaeger
XL-228,59757974,klaeger
XL-413,135564632,klaeger
XL-413,136662663,klaeger
Y-39983,9810884,klaeger
