LINCS_name,cid
UNC10225083A,NA
UNC10225084A,NA
UNC10225085A,NA
UNC10225086A,NA
UNC10225087A,NA
UNC10225088A,NA
UNC10225089A,NA
UNC10225090A,NA
UNC10225091A,NA
UNC10225092A,NA
UNC10225093A,NA
UNC10225094A,NA
UNC10225095A,NA
UNC10225096A,NA
UNC10225097A,NA
UNC10225098A,NA
UNC10225099A,NA
UNC10225100A,NA
UNC10225101A,NA
UNC10225103A,NA
UNC10225104A,NA
UNC10225105A,NA
UNC10225106A,NA
UNC10225107A,NA
UNC10225108A,NA
UNC10225109A,NA
UNC10225110A,NA
UNC10225111A,NA
UNC10225112A,NA
UNC10225113A,NA
UNC10225114A,NA
UNC10225115A,NA
UNC10225116A,NA
UNC10225117A,NA
UNC10225118A,NA
UNC10225119A,NA
UNC10225120A,NA
UNC10225121A,NA
UNC10225122A,NA
UNC10225123A,NA
UNC10225124A,NA
UNC10225125A,NA
UNC10225126A,NA
UNC10225127A,NA
UNC10225128B,NA
UNC10225129A,NA
UNC10225130B,NA
UNC10225131A,NA
UNC10225132A,NA
UNC10225133A,NA
UNC10225134A,NA
UNC10225135A,NA
UNC10225136A,NA
UNC10225137A,NA
UNC10225138A,NA
UNC10225139A,NA
UNC10225140A,NA
UNC10225141A,NA
UNC10225142A,NA
UNC10225143A,NA
UNC10225144A,NA
UNC10225145A,NA
UNC10225146A,NA
UNC10225147A,NA
UNC10225148A,NA
UNC10225149A,NA
UNC10225150A,NA
UNC10225151A,NA
UNC10225152A,NA
UNC10225153A,NA
UNC10225154A,NA
UNC10225155A,NA
UNC10225156A,NA
UNC10225157A,NA
UNC10225158A,NA
UNC10225160A,NA
UNC10225161A,NA
UNC10225162A,NA
UNC10225163A,NA
UNC10225164A,NA
UNC10225165A,NA
UNC10225166A,NA
UNC10225167A,NA
UNC10225168A,NA
UNC10225169A,NA
UNC10225170A,NA
UNC10225171A,NA
UNC10225172A,NA
UNC10225173A,NA
UNC10225174A,NA
UNC10225175A,NA
UNC10225176A,NA
UNC10225177A,NA
UNC10225178A,NA
UNC10225180A,NA
UNC10225181A,NA
UNC10225182A,NA
UNC10225183A,NA
UNC10225184A,NA
UNC10225185A,NA
UNC10225186A,NA
UNC10225188A,NA
UNC10225189A,NA
UNC10225190A,NA
UNC10225191A,NA
UNC10225192A,NA
UNC10225193A,NA
UNC10225194A,NA
UNC10225195A,NA
UNC10225196A,NA
UNC10225197A,NA
UNC10225198A,NA
UNC10225199A,NA
UNC10225200A,NA
UNC10225201A,NA
UNC10225202A,NA
UNC10225203A,NA
UNC10225204A,NA
UNC10225205A,NA
UNC10225206A,NA
UNC10225206B,NA
UNC10225208A,NA
UNC10225209A,NA
UNC10225210A,NA
UNC10225211A,NA
UNC10225212A,NA
UNC10225213A,NA
UNC10225214A,NA
UNC10225215A,NA
UNC10225216A,NA
UNC10225217A,NA
UNC10225218A,NA
UNC10225220A,NA
UNC10225221A,NA
UNC10225222A,NA
UNC10225223A,NA
UNC10225224A,NA
UNC10225225A,NA
UNC10225226A,NA
UNC10225227A,NA
UNC10225228A,NA
UNC10225229A,NA
UNC10225230A,NA
UNC10225231A,NA
UNC10225232A,NA
