drug_name,cid,origin,smiles
UNC10225187A,2787267,LINCS,CC1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C(F)(F)F
UNC10225062A,7,LINCS,CCN1C=NC2=C(N=CN=C21)N
UNC10225296A,44532438,LINCS,CC1=C(C=C(C=C1)O)NC2=C3C=CC(=CC3=NC=C2)C4=CC=C(O4)CN5CCCCC5
UNC10225430A,25023825,LINCS,CC1=C(C=C(C=C1)O)NC2=CC(=NC3=C2C=C(C=C3)C4=CC=NC=C4)C(F)(F)F
UNC10225266A,9998128,LINCS,CC1=NC(=CC=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC5=C(C=C4)NN=C5
UNC10225324A,25190912,LINCS,COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=C(C=C4)S(=O)(=O)C)OC
PFE-PKIS 10,71731823,LINCS,C[C@@H]1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C
PFE-PKIS 11,50992245,LINCS,COCCOCCOC1=C(C=C2C(=C1)N=CC3=C2NC4=C3C=CC(=C4)C#N)OC
PFE-PKIS 12,71552942,LINCS,C1CCC(C1)NC2=NC(=NC=C2C(=O)NCCCN3CCOC3=O)NCC4=C(C=CC(=C4)Cl)Cl
PFE-PKIS 13,11612883,LINCS,CS(=O)(=O)C1=CC=CC(=C1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)CC4
PFE-PKIS 14,56675921,LINCS,C1=CC(=CC=C1C2=CC3=C(S2)C(=NC=N3)SCC(=O)O)C(=O)N
PFE-PKIS 15,9937619,LINCS,C1CC1CONC(=O)C2=CC(=C(C(=C2NC3=C(C=C(C=C3)I)Cl)F)F)Br
PFE-PKIS 16,138726948,LINCS,CN1CCN(CC1)CCOC2=C(C=C3C(=C2)N=CC4=C3NC5=C4C=CC(=C5)C#N)OC
PFE-PKIS 18,139036271,LINCS,CC(C)N1C(=O)CC2=C1C=CC(=C2)NC3=NC=C(C(=N3)NCC4=CC(=CC=C4)S(=O)(=O)C)C(F)(F)F
PFE-PKIS 19,11715767,LINCS,C1CNC(=O)C2=C1NC(=C2)C3=CC=NC=C3
PFE-PKIS 2,70693799,LINCS,C1COCCN1C2=C(C(=C(S2)C3=CC=NN3)C4=CC=C(C=C4)Cl)C#N
PFE-PKIS 21,9826528,LINCS,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
PFE-PKIS 21,9826528,LINCS,C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O
PFE-PKIS 23,21952489,LINCS,CN(C1=CC=CC(=C1)CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
PFE-PKIS 24,138726947,LINCS,COC1=C(C=C2C(=C1)C3=C(C=N2)C4=C(N3)C=C(C=C4)C#N)OCCN5CCNCC5
PFE-PKIS 25,9926791,LINCS,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
PFE-PKIS 25,9926791,LINCS,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
PFE-PKIS 26,11598628,LINCS,CN(C1=CC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC4=C(C=C3)NC(=O)C4)S(=O)(=O)C
PFE-PKIS 27,6918454,LINCS,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
PFE-PKIS 3,5328127,LINCS,CC(C)(C)NC(=O)NC1=C(C=C2C=NC(=NC2=N1)N)C3=CC(=CC(=C3)OC)OC
PFE-PKIS 30,135565545,LINCS,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)[C@@H](C5CCCCC5)N)N2
PFE-PKIS 30,135565545,LINCS,CN1C=C(C=N1)C2=C3C=NNC(=O)C4=C3C(=CC(=C4)NC(=O)[C@@H](C5CCCCC5)N)N2
PFE-PKIS 31,53484072,LINCS,CC(=O)NC1=CC=C(C=C1)C2=CC3=C(S2)C(=NC=N3)SCC(=O)O
PFE-PKIS 32,5330286,LINCS,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
PFE-PKIS 32,5330286,LINCS,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
PFE-PKIS 32,5330286,LINCS,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C
PFE-PKIS 33,45271846,LINCS,C[C@@H]1CNC2=C(C(=O)N1)SC3=C2C4=C(C=C3)N=C(C=C4)C5=CC=NC=C5
PFE-PKIS 34,49856321,LINCS,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CO
PFE-PKIS 37,11626560,LINCS,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
PFE-PKIS 37,11626560,LINCS,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
PFE-PKIS 38,4369491,LINCS,C1=CC=C(C=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O
PFE-PKIS 39,24871823,LINCS,C[C@@H](C1=CC2=C(C=C1)N=CC=C2)C3=NN=C4N3N=C(C=C4)C5=CN(N=C5)C
PFE-PKIS 4,17754438,LINCS,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1
PFE-PKIS 4,17754438,LINCS,C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1
PFE-PKIS 41,22049997,LINCS,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C
PFE-PKIS 41,22049997,LINCS,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C
PFE-PKIS 43,56675920,LINCS,CSC1=CC=C(C=C1)C2=CC3=C(S2)C(=NC=N3)SCC(=O)O
PFE-PKIS 6,6450551,LINCS,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4
PFE-PKIS 6,6450551,LINCS,CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4
PFE-PKIS 7,5328135,LINCS,CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=C(C=CC=C3Cl)Cl)NC(=O)NC(C)(C)C
