drug,cid
UNC10225090A,6539475
UNC10225091A,44532554
UNC10225092A,6539458
UNC10225093A,44525942
UNC10225094A,44532477
UNC10225095A,44397393
UNC10225096A,44532737
UNC10225097A,9901062
UNC10225098A,44525967
UNC10225099A,44532261
UNC10225100A,44525964
UNC10225101A,44571415
UNC10225103A,51356856
UNC10225104A,44525935
UNC10225105A,44525954
UNC10225106A,44532446
UNC10225107A,134158116
UNC10225109A,44532526
UNC10225110A,44525930
UNC10225111A,44525949
UNC10225112A,44525920
UNC10225113A,44525941
UNC10225114A,136109070
UNC10225116A,9879605
UNC10225117A,44526983
UNC10225118A,9903786
UNC10225119A,53466728
UNC10225121A,6539477
UNC10225122A,9880709
UNC10225123A,69689
UNC10225124A,44525962
UNC10225125A,9836405
UNC10225126A,10358578
UNC10225127A,25263079
UNC10225128B,44533820
UNC10225129A,44525963
UNC10225130B,44532475
UNC10225131A,57403577
UNC10225132A,15407403
UNC10225133A,11429863
UNC10225134A,44525936
UNC10225135A,44525952
UNC10225136A,57403578
UNC10225137A,6539519
UNC10225138A,6539416
UNC10225139A,44532869
UNC10225140A,6539591
UNC10225141A,44532377
UNC10225143A,51354901
UNC10225144A,135435008
UNC10225145A,44527950
UNC10225146A,11514099
UNC10225147A,44525932
UNC10225148A,51354328
UNC10225149A,99545
UNC10225150A,6539507
UNC10225151A,44526068
UNC10225152A,44525931
UNC10225153A,25263105
UNC10225154A,44526248
UNC10225155A,44532683
UNC10225156A,86064662
UNC10225157A,44525948
UNC10225158A,56673950
UNC10225160A,44525956
UNC10225161A,44525923
UNC10225162A,44525961
UNC10225163A,5228
UNC10225164A,44525934
UNC10225165A,53469448
UNC10225166A,53245731
UNC10225167A,57401865
UNC10225168A,6539452
UNC10225169A,9861063
UNC10225170A,44531021
UNC10225172A,53467392
UNC10225173A,44328970
UNC10225174A,44528968
UNC10225175A,45270417
UNC10225177A,44525945
UNC10225178A,70685440
UNC10225180A,6539612
UNC10225181A,45272982
UNC10225182A,135925142
UNC10225183A,44525955
UNC10225184A,11595752
UNC10225185A,6263849
UNC10225186A,6539550
UNC10225188A,11627271
UNC10225189A,44532432
UNC10225190A,134158164
UNC10225191A,6539376
UNC10225192A,6539427
UNC10225193A,44525972
UNC10225194A,17917696
UNC10225195A,57403579
UNC10225197A,10239038
UNC10225198A,135416046
UNC10225199A,44525966
UNC10225200A,44526076
UNC10225201A,9796486
UNC10225202A,57398392
UNC10225203A,227502
UNC10225204A,86064664
UNC10225205A,56680318
UNC10225208A,11057468
UNC10225209A,6538884
UNC10225210A,44525968
UNC10225211A,86346663
UNC10225212A,6539525
UNC10225213A,44269265
UNC10225214A,46215644
UNC10225215A,44532102
UNC10225216A,6539509
UNC10225217A,25222706
UNC10225218A,44525929
UNC10225220A,44532450
UNC10225222A,44526892
UNC10225223A,17755746
UNC10225224A,6539394
UNC10225225A,57400062
UNC10225226A,11682470
UNC10225228A,44526075
UNC10225229A,44479934
UNC10225230A,11682680
UNC10225231A,57403576
