BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
TAF1(2),Bromosporine,Bromosporine,3.6,1.0,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
TAF1L(2),Bromosporine,Bromosporine,11,1.4,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
TRIM24(Bromo.),Bromosporine,Bromosporine,6800,760,4,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"TRIM24(PHD,Bromo.)",Bromosporine,Bromosporine,29000,3700,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
"TRIM33(PHD,Bromo.)",Bromosporine,Bromosporine,>50000,,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
WDR9(2),Bromosporine,Bromosporine,>50000,,2,nM,CCOC(=O)NC1=CC(=NN2C1=NN=C2C)C3=CC(=C(C=C3)C)NS(=O)(=O)C
ATAD2A,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
ATAD2B,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BAZ1B,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BAZ2A,GSK2801,GSK2801,430,55,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BAZ2B,GSK2801,GSK2801,170,8.4,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD1,GSK2801,GSK2801,60000,24000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD2(1),GSK2801,GSK2801,41000,1900,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"BRD2(1,2)",GSK2801,GSK2801,19000,460,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD2(2),GSK2801,GSK2801,22000,3400,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD3(1),GSK2801,GSK2801,34000,5200,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"BRD3(1,2)",GSK2801,GSK2801,17000,4800,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD3(2),GSK2801,GSK2801,13000,1200,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD4(1),GSK2801,GSK2801,74000,4000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"BRD4(1,2)",GSK2801,GSK2801,65000,3500,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD4(2),GSK2801,GSK2801,29000,1800,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"BRD4(full-length,short-iso.)",GSK2801,GSK2801,41000,17000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD7,GSK2801,GSK2801,22000,2400,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD8(1),GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD8(2),GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRD9,GSK2801,GSK2801,120,19,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRDT(1),GSK2801,GSK2801,30000,9400,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"BRDT(1,2)",GSK2801,GSK2801,52000,5700,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRDT(2),GSK2801,GSK2801,67000,36000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRPF1,GSK2801,GSK2801,14000,3.5,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
BRPF3,GSK2801,GSK2801,15000,3500,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
CECR2,GSK2801,GSK2801,9000,2200,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
CREBBP,GSK2801,GSK2801,21000,6400,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
EP300,GSK2801,GSK2801,70000,34000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
FALZ,GSK2801,GSK2801,95000,21000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
GCN5L2,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
PBRM1(2),GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
PBRM1(5),GSK2801,GSK2801,>100000,NA,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
PCAF,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
SMARCA2,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
SMARCA2(iso.A),GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
SMARCA4,GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
TAF1(2),GSK2801,GSK2801,1400,150,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
TAF1L(2),GSK2801,GSK2801,5100,540,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
TRIM24(Bromo.),GSK2801,GSK2801,24000,9000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"TRIM24(PHD,Bromo.)",GSK2801,GSK2801,33000,16000,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
"TRIM33(PHD,Bromo.)",GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
WDR9(2),GSK2801,GSK2801,>100000,,2,nM,CCCOC1=CC2=C(C3=C(S(C)(=O)=O)C=CC=C3)C=C(C(C)=O)N2C=C1
ATAD2A,I-CBP112,I-CBP112,>100000,,6,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
ATAD2B,I-CBP112,I-CBP112,71000,11000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BAZ1B,I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BAZ2A,I-CBP112,I-CBP112,70000,6200,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BAZ2B,I-CBP112,I-CBP112,28000,5900,4,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD1,I-CBP112,I-CBP112,51000,3500,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD2(1),I-CBP112,I-CBP112,5700,870,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"BRD2(1,2)",I-CBP112,I-CBP112,6900,750,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD2(2),I-CBP112,I-CBP112,26000,6300,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD3(1),I-CBP112,I-CBP112,5400,110,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"BRD3(1,2)",I-CBP112,I-CBP112,6300,640,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD3(2),I-CBP112,I-CBP112,20000,14000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD4(1),I-CBP112,I-CBP112,2900,690,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"BRD4(1,2)",I-CBP112,I-CBP112,11000,35,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD4(2),I-CBP112,I-CBP112,16000,4700,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"BRD4(full-length,short-iso.)",I-CBP112,I-CBP112,2854.47,388.08,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD7,I-CBP112,I-CBP112,7600,950,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD8(1),I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD8(2),I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRD9,I-CBP112,I-CBP112,25000,2600,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRDT(1),I-CBP112,I-CBP112,4200,87,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"BRDT(1,2)",I-CBP112,I-CBP112,9600,140,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRDT(2),I-CBP112,I-CBP112,49000,10000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRPF1,I-CBP112,I-CBP112,20000,1100,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
BRPF3,I-CBP112,I-CBP112,95000,40000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
CECR2,I-CBP112,I-CBP112,17000,2100,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
CREBBP,I-CBP112,I-CBP112,60,9.0,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
EP300,I-CBP112,I-CBP112,120,44,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
FALZ,I-CBP112,I-CBP112,5500,10,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
GCN5L2,I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
PBRM1(2),I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
PBRM1(5),I-CBP112,I-CBP112,>100000,NA,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
PCAF,I-CBP112,I-CBP112,77000,27000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
SMARCA2,I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
SMARCA2(iso.A),I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
SMARCA4,I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
TAF1(2),I-CBP112,I-CBP112,45000,340,4,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
TAF1L(2),I-CBP112,I-CBP112,52000,13000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
TRIM24(Bromo.),I-CBP112,I-CBP112,12000,170,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"TRIM24(PHD,Bromo.)",I-CBP112,I-CBP112,14000,1700,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
"TRIM33(PHD,Bromo.)",I-CBP112,I-CBP112,>100000,,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
WDR9(2),I-CBP112,I-CBP112,59000,17000,2,nM,COC(C(OC)=C1)=CC=C1C2=CC(OC[C@H]3CCCN(C)C3)=C(OCCN(C(CC)=O)C4)C4=C2
ATAD2A,NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
ATAD2B,NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BAZ1B,NI 57,NIC57,,,,,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BAZ2A,NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BAZ2B,NI 57,NIC57,9400,2000,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD1,NI 57,NIC57,46,11,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD2(1),NI 57,NIC57,5900,350,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"BRD2(1,2)",NI 57,NIC57,12000,1800,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD2(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD3(1),NI 57,NIC57,7200,180,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"BRD3(1,2)",NI 57,NIC57,12000,1300,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD3(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD4(1),NI 57,NIC57,3300,140,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"BRD4(1,2)",NI 57,NIC57,15000,630,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD4(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"BRD4(full-length,short-iso.)",NI 57,NIC57,4900,0.73,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD7,NI 57,NIC57,100,2.3,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD8(1),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD8(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRD9,NI 57,NIC57,160,6.0,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRDT(1),NI 57,NIC57,4800,1600,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"BRDT(1,2)",NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRDT(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRPF1,NI 57,NIC57,4.0,1.0,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
BRPF3,NI 57,NIC57,110,4.9,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
CECR2,NI 57,NIC57,12000,2000,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
CREBBP,NI 57,NIC57,13000,2400,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
EP300,NI 57,NIC57,15000,840,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
FALZ,NI 57,NIC57,2300,460,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
GCN5L2,NI 57,NIC57,4100,1100,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
PBRM1(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
PBRM1(5),NI 57,NIC57,11000,2700,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
PCAF,NI 57,NIC57,4200,160,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
SMARCA2,NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
SMARCA2(iso.A),NI 57,NIC57,,,,,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
SMARCA4,NI 57,NIC57,41000,83,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
TAF1(2),NI 57,NIC57,4900,610,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
TAF1L(2),NI 57,NIC57,5500,96,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
TRIM24(Bromo.),NI 57,NIC57,1600,250,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"TRIM24(PHD,Bromo.)",NI 57,NIC57,5600,290,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
"TRIM33(PHD,Bromo.)",NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
WDR9(2),NI 57,NIC57,>50000,,2,nM,O=S(NC1=CC=C(N(C)C(C(C)=C2)=O)C2=C1)(C3=C(OC)C=C(C#N)C=C3)=O
ATAD2A,OF-1,OF-1,>50000,,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
ATAD2B,OF-1,OF-1,29000,4600,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BAZ1B,OF-1,OF-1,,,,,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BAZ2A,OF-1,OF-1,13000,3200,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BAZ2B,OF-1,OF-1,2500,190,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD1,OF-1,OF-1,360,36,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD2(1),OF-1,OF-1,7400,590,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
"BRD2(1,2)",OF-1,OF-1,5600,680,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD2(2),OF-1,OF-1,10000,990,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD3(1),OF-1,OF-1,5500,300,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
"BRD3(1,2)",OF-1,OF-1,4900,150,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD3(2),OF-1,OF-1,16000,1200,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD4(1),OF-1,OF-1,3800,34,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
"BRD4(1,2)",OF-1,OF-1,8200,1000,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD4(2),OF-1,OF-1,8500,1100,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
"BRD4(full-length,short-iso.)",OF-1,OF-1,7100,850,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD7,OF-1,OF-1,1000,9.2,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD8(1),OF-1,OF-1,>50000,,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD8(2),OF-1,OF-1,>50000,,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRD9,OF-1,OF-1,2900,430,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
BRDT(1),OF-1,OF-1,3500,130,2,nM,CN1C2=C(C=C(OC)C(NS(C3=C(C)C=C(Br)C=C3)(=O)=O)=C2)N(C)C1=O
