BROMOscan Gene Symbol,Common Inhibitor Name,CBIS Compound Name,KD,St.Dev.,n,KD Units,Inhibitor SMILE
SMARCA2,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
SMARCA2(iso.A),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
SMARCA4,BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
TAF1(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
TAF1L(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
TRIM24(Bromo.),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"TRIM24(PHD,Bromo.)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
"TRIM33(PHD,Bromo.)",BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
WDR9(2),BAZ2-ICR,BDILV000379a,>50000,,2,nM,Cn1cc(CCn2cnc(c3cnn(C)c3)c2c2ccc(C#N)cc2)cn1
ATAD2A,CBP30-298,BDOIA298,>150000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
ATAD2B,CBP30-298,BDOIA298,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BAZ1B,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BAZ2A,CBP30-298,BDOIA298,55000,9900,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BAZ2B,CBP30-298,BDOIA298,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD1,CBP30-298,BDOIA298,46000,4400,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD2(1),CBP30-298,BDOIA298,780,100,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"BRD2(1,2)",CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD2(2),CBP30-298,BDOIA298,1800,190,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD3(1),CBP30-298,BDOIA298,960,41,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"BRD3(1,2)",CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD3(2),CBP30-298,BDOIA298,1600,220,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD4(1),CBP30-298,BDOIA298,520,11,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"BRD4(1,2)",CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD4(2),CBP30-298,BDOIA298,2700,290,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"BRD4(full-length,short-iso.)",CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD7,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD8(1),CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD8(2),CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRD9,CBP30-298,BDOIA298,12000,210,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRDT(1),CBP30-298,BDOIA298,1800,170,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"BRDT(1,2)",CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRDT(2),CBP30-298,BDOIA298,6800,740,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRPF1,CBP30-298,BDOIA298,18000,2800,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
BRPF3,CBP30-298,BDOIA298,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
CECR2,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
CREBBP,CBP30-298,BDOIA298,140,16,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
EP300,CBP30-298,BDOIA298,92,8.5,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
FALZ,CBP30-298,BDOIA298,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
GCN5L2,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
PBRM1(2),CBP30-298,BDOIA298,42000,1200,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
PBRM1(5),CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
PCAF,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
SMARCA2,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
SMARCA2(iso.A),CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
SMARCA4,CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
TAF1(2),CBP30-298,BDOIA298,5800,920,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
TAF1L(2),CBP30-298,BDOIA298,17000,3800,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
TRIM24(Bromo.),CBP30-298,BDOIA298,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"TRIM24(PHD,Bromo.)",CBP30-298,BDOIA298,17000,7300,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
"TRIM33(PHD,Bromo.)",CBP30-298,BDOIA298,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
WDR9(2),CBP30-298,BDOIA298,30000,9100,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccccc2)n3CCN2CCOCC2)c(C)on1
ATAD2A,CBP30-383,BDOIA383,>150000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
ATAD2B,CBP30-383,BDOIA383,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BAZ1B,CBP30-383,BDOIA383,nd,,,,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BAZ2A,CBP30-383,BDOIA383,75000,6400,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BAZ2B,CBP30-383,BDOIA383,>50000,,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD1,CBP30-383,BDOIA383,47000,2800,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
BRD2(1),CBP30-383,BDOIA383,1500,15,2,nM,Cc1c(c2ccc3c(c2)nc(CCc2ccc(cc2)OC)n3CCN2CCOCC2)c(C)on1
